Analyzing 378 Когда тьма со всех сторон (Душа моя так ждет Тебя).pdf...

Char   | Width    | Gap After 
'[SPACE]' | 2.9290   | 0.0710
'H'      | 8.1778   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1498
'E'      | 6.3245   | 0.1555
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'H'      | 8.1778   | 0.1022
'/'      | 5.5728   | -
'D'      | 8.1648   | -
'#'      | 6.4541   | 0.1459
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.1152
'A'      | 7.8538   | -
'/'      | 5.5728   | 0.0672
'C'      | 6.8558   | -
'#'      | 6.4541   | 0.0259
'[SPACE]' | 2.9290   | -
'П'      | 8.7329   | -
'р'      | 7.3710   | -
'и'      | 7.5956   | -
'н'      | 7.5114   | 0.0281
'а'      | 6.7252   | -
'д'      | 7.8343   | -
'л'      | 7.1604   | -
'е'      | 6.9919   | -
'ж'      | 9.6736   | -
'у'      | 6.3601   | 0.0487
'[SPACE]' | 3.1730   | -
'я'      | 6.6550   | -
'[SPACE]' | 3.1730   | -
'т'      | 5.4335   | -
'о'      | 7.3991   | -
'г'      | 4.8578   | -
'д'      | 7.8343   | -
'а'      | 6.7252   | -
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'Г'      | 6.0372   | -
'о'      | 7.3991   | -
'с'      | 5.9389   | -
'п'      | 7.3148   | -
'о'      | 7.3991   | -
'д'      | 7.8343   | -
'ь'      | 6.5988   | -
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'д'      | 7.8343   | -
'о'      | 7.3991   | -
'в'      | 6.7252   | -
'е'      | 6.9919   | -
'р'      | 7.3710   | -
'я'      | 6.6550   | -
'я'      | 6.6550   | -
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'т'      | 5.4335   | 0.0702
'и'      | 7.5956   | -
'х'      | 6.0793   | -
'о'      | 7.3991   | -
'[SPACE]' | 3.1730   | -
'ж'      | 9.6736   | -
'д'      | 7.8343   | -
'а'      | 6.7252   | -
'т'      | 5.4335   | -
'ь'      | 6.5988   | 0.0112
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'F'      | 5.9486   | 0.0514
'#'      | 6.4541   | 0.0259
'm'      | 10.5365   | -
'7'      | 4.3196   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.2891
'[SPACE]' | 2.9290   | 0.0710
'[SPACE]' | 2.9290   | 0.0710
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0960
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0711
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0960
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.0394
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.3090
'E'      | 6.3245   | 0.0355
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
